seconds, time, density, practical_salinity, seawater_temperature
3745671385.41, 16:16:25, 1034.770145, 34.516377, 2.435133
3745671386.42, 16:16:26, 1034.770299, 34.516538, 2.434917
3745671387.43, 16:16:27, 1034.770012, 34.516244, 2.435133
3745671388.45, 16:16:28, 1034.770037, 34.516241, 2.435133
3745671389.46, 16:16:29, 1034.769955, 34.516155, 2.435025
3745671390.47, 16:16:30, 1034.770139, 34.516345, 2.434971
3745671391.48, 16:16:31, 1034.769778, 34.515955, 2.435402
3745671392.50, 16:16:32, 1034.769936, 34.516137, 2.435294
3745671393.51, 16:16:33, 1034.770033, 34.516209, 2.434971
3745671394.52, 16:16:34, 1034.770033, 34.516209, 2.434971
3745671395.54, 16:16:35, 1034.769980, 34.516152, 2.435025
3745671396.55, 16:16:36, 1034.770137, 34.516335, 2.434917
3745671397.56, 16:16:37, 1034.770034, 34.516220, 2.435025
3745671398.57, 16:16:38, 1034.770086, 34.516277, 2.434971
3745671399.59, 16:16:39, 1034.770084, 34.516267, 2.434917
3745671400.60, 16:16:40, 1034.769929, 34.516095, 2.435079
3745671401.61, 16:16:41, 1034.769983, 34.516163, 2.435079
3745671402.62, 16:16:42, 1034.770064, 34.516302, 2.435079
3745671403.64, 16:16:43, 1034.770033, 34.516209, 2.434971
3745671404.65, 16:16:44, 1034.770087, 34.516288, 2.435025
3745671405.66, 16:16:45, 1034.769980, 34.516152, 2.435025
3745671406.67, 16:16:46, 1034.770007, 34.516212, 2.434971
3745671407.69, 16:16:47, 1034.770036, 34.516231, 2.435079
3745671408.70, 16:16:48, 1034.770062, 34.516238, 2.435133
3745671409.71, 16:16:49, 1034.770143, 34.516366, 2.435079
3745671410.73, 16:16:50, 1034.770088, 34.516288, 2.435025
3745671411.74, 16:16:51, 1034.769931, 34.516105, 2.435133
3745671412.75, 16:16:52, 1034.770141, 34.516356, 2.435025
3745671413.76, 16:16:53, 1034.770195, 34.516424, 2.435025
3745671414.78, 16:16:54, 1034.769931, 34.516105, 2.435133
3745671415.79, 16:16:55, 1034.769986, 34.516184, 2.435186
3745671416.80, 16:16:56, 1034.770061, 34.516228, 2.435079
3745671417.81, 16:16:57, 1034.770168, 34.516363, 2.435079
3745671418.83, 16:16:58, 1034.770091, 34.516309, 2.435133
3745671419.84, 16:16:59, 1034.770089, 34.516299, 2.435079
3745671420.85, 16:17:00, 1034.770009, 34.516170, 2.435133
3745671421.86, 16:17:01, 1034.770115, 34.516295, 2.435079
3745671422.88, 16:17:02, 1034.769959, 34.516176, 2.435133
3745671423.89, 16:17:03, 1034.770142, 34.516367, 2.435079
3745671424.90, 16:17:04, 1034.770168, 34.516364, 2.435079
3745671425.91, 16:17:05, 1034.770114, 34.516296, 2.435079
3745671426.93, 16:17:06, 1034.770195, 34.516424, 2.435025
3745671427.94, 16:17:07, 1034.770115, 34.516295, 2.435079
3745671428.95, 16:17:08, 1034.770088, 34.516288, 2.435025
3745671429.97, 16:17:09, 1034.770195, 34.516424, 2.435025
3745671430.98, 16:17:10, 1034.770141, 34.516356, 2.435025
3745671431.99, 16:17:11, 1034.770034, 34.516220, 2.435025
3745671433.00, 16:17:13, 1034.770323, 34.516535, 2.434917
3745671434.02, 16:17:14, 1034.770195, 34.516424, 2.435025
3745671435.03, 16:17:15, 1034.770197, 34.516434, 2.435079
3745671436.04, 16:17:16, 1034.770063, 34.516291, 2.435025
3745671437.05, 16:17:17, 1034.770090, 34.516298, 2.435079
3745671438.07, 16:17:18, 1034.770116, 34.516306, 2.435133
3745671439.08, 16:17:19, 1034.770143, 34.516367, 2.435079
3745671440.09, 16:17:20, 1034.770250, 34.516502, 2.435079
3745671441.10, 16:17:21, 1034.770116, 34.516306, 2.435133
3745671442.12, 16:17:22, 1034.770062, 34.516238, 2.435133
3745671443.13, 16:17:23, 1034.770012, 34.516192, 2.435240
3745671444.14, 16:17:24, 1034.769928, 34.516095, 2.435079
3745671445.16, 16:17:25, 1034.769982, 34.516163, 2.435079
3745671446.17, 16:17:26, 1034.770062, 34.516238, 2.435133
3745671447.18, 16:17:27, 1034.770064, 34.516249, 2.435186
3745671448.19, 16:17:28, 1034.769987, 34.516195, 2.435240
3745671449.21, 16:17:29, 1034.769985, 34.516184, 2.435186
3745671450.22, 16:17:30, 1034.770039, 34.516252, 2.435186
3745671451.23, 16:17:31, 1034.769904, 34.516045, 2.435186
3745671452.24, 16:17:32, 1034.769929, 34.516095, 2.435079
3745671453.25, 16:17:33, 1034.769878, 34.516048, 2.435186
3745671454.27, 16:17:34, 1034.770035, 34.516231, 2.435079
3745671455.28, 16:17:35, 1034.770005, 34.516149, 2.435025
3745671456.29, 16:17:36, 1034.769980, 34.516152, 2.435025
3745671457.31, 16:17:37, 1034.770263, 34.516425, 2.434701
3745671458.32, 16:17:38, 1034.770213, 34.516378, 2.434809
3745671459.33, 16:17:39, 1034.769978, 34.516141, 2.434971
3745671460.34, 16:17:40, 1034.770107, 34.516253, 2.434863
3745671461.36, 16:17:41, 1034.770343, 34.516553, 2.434648
3745671462.37, 16:17:42, 1034.770133, 34.516313, 2.434809
3745671463.38, 16:17:43, 1034.770030, 34.516199, 2.434917
3745671464.39, 16:17:44, 1034.770030, 34.516199, 2.434917
3745671465.41, 16:17:45, 1034.769903, 34.516098, 2.435079
3745671466.42, 16:17:46, 1034.769927, 34.516084, 2.435025
3745671467.43, 16:17:47, 1034.770030, 34.516199, 2.434917
3745671468.44, 16:17:48, 1034.769979, 34.516141, 2.434971
3745671469.46, 16:17:49, 1034.769847, 34.515956, 2.435079
3745671470.47, 16:17:50, 1034.770163, 34.516384, 2.434809
3745671471.48, 16:17:51, 1034.770058, 34.516206, 2.434971
3745671472.50, 16:17:52, 1034.769904, 34.516098, 2.435079
3745671473.51, 16:17:53, 1034.770111, 34.516274, 2.434971
3745671474.52, 16:17:54, 1034.770347, 34.516574, 2.434755
3745671475.53, 16:17:55, 1034.770190, 34.516392, 2.434863
3745671476.55, 16:17:56, 1034.770082, 34.516256, 2.434863
3745671477.56, 16:17:57, 1034.770368, 34.516550, 2.434648
3745671478.57, 16:17:58, 1034.770184, 34.516360, 2.434701
3745671479.58, 16:17:59, 1034.769875, 34.516027, 2.435079
3745671480.60, 16:18:00, 1034.770031, 34.516199, 2.434917
3745671481.61, 16:18:01, 1034.770027, 34.516177, 2.434809
3745671482.62, 16:18:02, 1034.770110, 34.516327, 2.434863
3745671483.64, 16:18:03, 1034.769980, 34.516152, 2.435025
3745671484.65, 16:18:04, 1034.770031, 34.516209, 2.434971
3745671485.66, 16:18:05, 1034.770187, 34.516381, 2.434809
3745671486.67, 16:18:06, 1034.770241, 34.516449, 2.434809
3745671487.69, 16:18:07, 1034.770189, 34.516392, 2.434863
3745671488.70, 16:18:08, 1034.770057, 34.516206, 2.434971
3745671489.71, 16:18:09, 1034.770110, 34.516274, 2.434971
3745671490.72, 16:18:10, 1034.770031, 34.516209, 2.434971
3745671491.74, 16:18:11, 1034.770031, 34.516209, 2.434971
3745671492.75, 16:18:12, 1034.770106, 34.516242, 2.434809
3745671493.76, 16:18:13, 1034.770078, 34.516171, 2.434809
